# cctext perf results
# date=2026-08-17T20:50:00Z  host=Srees-MacBook-Air  build=release
# note: one warmup run discarded before measuring
#
# binary                    bytes      size
# ------------------------------------------------
perf_matrix_smoke        86928      84.9 KiB
cctext                   140648     137.4 KiB
#
# size       rss_open      rss_peak
# ------------------------------------------------
2M         1.4 MiB       3.5 MiB
8G         1.4 MiB       3.6 MiB
#
# size       op              ms
# ------------------------------------------------
2M         open           0.045
2M         scroll_40      5.187
2M         jump_100k      2.150
2M         insert_bof     0.464
2M         insert_eof     0.009
2M         insert_mid     0.006
2M         newline_mid    0.011
2M         close          0.045
8G         open           0.048
8G         scroll_40      0.131
8G         jump_100k      1.699
8G         insert_bof     2.743
8G         insert_eof     0.008
8G         insert_mid     1.904
8G         newline_mid    0.015
8G         close          0.062
#
# pins (regression): testdata/perf/baseline.env
