# raytext perf results
# date=2026-08-18T00:41:42Z  host=Srees-MacBook-Air  build=release
# note: process warmup discarded; each op from a fresh open; best of 5
#
# binary                    bytes      size
# ------------------------------------------------
perf_matrix_smoke        87072      85.0 KiB
cctext                   175816     171.7 KiB
#
# size       rss_open      rss_peak
# ------------------------------------------------
2M         1.4 MiB       3.5 MiB
8G         1.4 MiB       3.5 MiB
#
# size       op              ms
# ------------------------------------------------
2M         open           0.012
2M         scroll_40      0.066
2M         jump_100k      1.119
2M         insert_bof     0.109
2M         insert_eof     0.113
2M         insert_mid     0.864
2M         newline_mid    0.805
2M         close          0.000
8G         open           0.010
8G         scroll_40      0.059
8G         jump_100k      1.080
8G         insert_bof     0.083
8G         insert_eof     0.082
8G         insert_mid     1.182
8G         newline_mid    1.195
8G         close          0.000
#
# pins (regression): testdata/perf/baseline.env
