# cctext perf results
# date=2026-08-19T13:00:08Z  host=Srees-MacBook-Air  build=release
# note: process warmup discarded; each op from a fresh open; best of 5
# note: jump_1m / wrap_1m / insert_mid / newline_mid are 1 MiB into every file
#
# binary                    bytes      size
# ------------------------------------------------
perf_matrix_smoke        140416     137.1 KiB
cctext                   309016     301.8 KiB
#
# size       rss_open      rss_peak
# ------------------------------------------------
3M         1.5 MiB       2.6 MiB
8G         1.5 MiB       2.6 MiB
2Gjson     2.1 MiB       3.7 MiB
#
# size       op              ms
# ------------------------------------------------
3M         open           0.005
3M         scroll_40      0.037
3M         wrap_40        0.055
3M         jump_1m        0.462
3M         wrap_1m        0.732
3M         insert_bof     0.069
3M         insert_eof     0.082
3M         insert_mid     0.517
3M         newline_mid    0.513
3M         close          0.000
8G         open           0.006
8G         scroll_40      0.037
8G         wrap_40        0.051
8G         jump_1m        0.449
8G         wrap_1m        0.742
8G         insert_bof     0.067
8G         insert_eof     0.065
8G         insert_mid     0.511
8G         newline_mid    0.503
8G         close          0.000
2Gjson     open           0.006
2Gjson     scroll_40      0.045
2Gjson     wrap_40        0.164
2Gjson     jump_1m        0.397
2Gjson     wrap_1m        0.808
2Gjson     insert_bof     0.071
2Gjson     insert_eof     0.070
2Gjson     insert_mid     0.458
2Gjson     newline_mid    0.452
2Gjson     close          0.000
#
# pins (regression): testdata/perf/baseline.env
