# cctext perf results
# date=2026-09-05T01:18:47Z  host=Srees-MacBook-Air  build=release
# note: process warmup discarded; each op from a fresh open; best of 5
# note: jump_1m / wrap_1m / insert_mid / newline_mid are 1 MiB into every file
# note: jump_50pct is g+50% (line_floor + island; no prefix line_of)
#
# binary                    bytes      size
# ------------------------------------------------
perf_matrix_smoke        312720     305.4 KiB
cctext                   556136     543.1 KiB
#
# size       rss_open      rss_peak
# ------------------------------------------------
3M         1.5 MiB       3.8 MiB
8G         1.5 MiB       4.2 MiB
2Gjson     1.7 MiB       4.7 MiB
#
# size       op              ms
# ------------------------------------------------
3M         open           0.012
3M         scroll_40      0.067
3M         wrap_40        0.271
3M         jump_1m        0.798
3M         jump_50pct     0.007
3M         wrap_1m        1.268
3M         insert_bof     0.151
3M         insert_eof     0.120
3M         insert_mid     0.141
3M         newline_mid    0.140
3M         close          0.001
8G         open           0.018
8G         scroll_40      0.119
8G         wrap_40        0.270
8G         jump_1m        0.735
8G         jump_50pct     0.007
8G         wrap_1m        1.319
8G         insert_bof     0.156
8G         insert_eof     0.106
8G         insert_mid     0.121
8G         newline_mid    0.118
8G         close          0.001
2Gjson     open           0.012
2Gjson     scroll_40      0.082
2Gjson     wrap_40        0.638
2Gjson     jump_1m        0.735
2Gjson     jump_50pct     0.008
2Gjson     wrap_1m        1.753
2Gjson     insert_bof     0.137
2Gjson     insert_eof     0.127
2Gjson     insert_mid     0.134
2Gjson     newline_mid    0.115
2Gjson     close          0.001
#
# pins (regression): testdata/perf/baseline.env
