# cctext perf results
# date=2026-09-10T10:37:32Z  host=Srees-MacBook-Air  build=release
# note: process warmup discarded; each op from a fresh open; best of 5
# note: jump_1m / wrap_1m / insert_mid / newline_mid are 1 MiB into every file
# note: jump_50pct is g+50% (line_floor + island; no prefix line_of)
# note: ws_mem is live malloc (heap_in_use) across 8×512K switch/jump/edit
#
# binary                    bytes      size
# ------------------------------------------------
perf_matrix_smoke        347760     339.6 KiB
ws_mem_smoke             276608     270.1 KiB
cctext                   661080     645.6 KiB
#
# size       rss_open      rss_peak
# ------------------------------------------------
3M         1.5 MiB       3.3 MiB
8G         1.5 MiB       3.3 MiB
2Gjson     2.0 MiB       3.5 MiB
#
# ws_mem phase           heap
# ------------------------------------------------
base           100.0 KiB
open           638.3 KiB
switch         638.3 KiB
jump_warm      1.9 MiB
jump_again     1.3 MiB
edit           2.2 MiB
reopen         638.3 KiB
destroyed      116.2 KiB
#
# size       op              ms
# ------------------------------------------------
3M         open           0.007
3M         scroll_40      0.043
3M         wrap_40        0.068
3M         jump_1m        0.499
3M         jump_50pct     0.004
3M         wrap_1m        0.698
3M         insert_bof     0.079
3M         insert_eof     0.086
3M         insert_mid     0.072
3M         newline_mid    0.087
3M         close          0.001
8G         open           0.006
8G         scroll_40      0.039
8G         wrap_40        0.064
8G         jump_1m        0.466
8G         jump_50pct     0.003
8G         wrap_1m        0.691
8G         insert_bof     0.069
8G         insert_eof     0.076
8G         insert_mid     0.085
8G         newline_mid    0.087
8G         close          0.000
2Gjson     open           0.007
2Gjson     scroll_40      0.055
2Gjson     wrap_40        0.413
2Gjson     jump_1m        0.450
2Gjson     jump_50pct     0.004
2Gjson     wrap_1m        1.000
2Gjson     insert_bof     0.082
2Gjson     insert_eof     0.079
2Gjson     insert_mid     0.093
2Gjson     newline_mid    0.089
2Gjson     close          0.000
#
# pins (regression): testdata/perf/baseline.env
